iter	Passed	Remaining
0	151	151800
1	153	76785
2	155	51716
3	157	39138
4	159	31725
5	160	26667
6	162	23093
7	164	20400
8	166	18293
9	167	16603
10	169	15219
11	170	14064
12	173	13172
13	175	12355
14	177	11661
15	206	12673
16	207	12021
17	209	11435
18	210	10869
19	211	10362
20	212	9892
21	212	9463
22	213	9070
23	214	8710
24	214	8377
25	215	8082
26	216	7804
27	217	7545
28	218	7319
29	219	7094
30	220	6878
31	220	6676
32	221	6489
33	222	6316
34	223	6148
35	224	6015
36	225	5864
37	225	5720
38	226	5581
39	226	5447
40	227	5321
41	227	5199
42	228	5085
43	228	4974
44	229	4869
45	229	4768
46	230	4672
47	230	4580
48	231	4491
49	232	4417
50	233	4349
51	234	4282
52	235	4210
53	236	4139
54	236	4070
55	237	4001
56	237	3934
57	238	3870
58	238	3810
59	239	3752
60	240	3695
61	240	3638
62	240	3584
63	241	3531
64	241	3480
65	242	3431
66	243	3385
67	244	3345
68	244	3301
69	245	3258
70	245	3215
71	246	3177
72	247	3142
73	248	3105
74	249	3072
75	249	3039
76	250	3006
77	251	2972
78	252	2939
79	252	2906
80	253	2874
81	254	2852
82	255	2819
83	255	2791
84	256	2760
85	256	2730
86	257	2701
87	257	2673
88	258	2645
89	258	2618
90	259	2592
91	260	2566
92	260	2540
93	261	2518
94	262	2499
95	263	2484
96	264	2465
97	265	2443
98	266	2422
99	266	2401
100	267	2382
101	268	2361
102	268	2341
103	269	2324
104	270	2306
105	271	2289
106	272	2271
107	272	2252
108	273	2233
109	273	2214
110	274	2195
111	274	2177
112	275	2159
113	275	2141
114	276	2129
115	277	2116
116	278	2103
117	279	2090
118	280	2075
119	281	2060
120	281	2046
121	282	2032
122	283	2018
123	283	2004
124	284	1990
125	284	1975
126	285	1960
127	285	1947
128	286	1933
129	286	1920
130	287	1906
131	287	1893
132	288	1879
133	288	1866
134	289	1854
135	289	1841
136	290	1828
137	291	1818
138	292	1809
139	293	1805
140	294	1796
141	295	1784
142	295	1773
143	296	1762
144	297	1754
145	298	1744
146	298	1733
147	299	1722
148	299	1711
149	300	1701
150	300	1690
151	301	1680
152	301	1670
153	302	1660
154	302	1650
155	303	1640
156	303	1630
157	304	1621
158	304	1613
159	305	1604
160	306	1595
161	307	1589
162	308	1583
163	309	1575
164	309	1567
165	310	1559
166	310	1551
167	311	1542
168	311	1533
169	312	1525
170	312	1517
171	313	1508
172	313	1500
173	314	1492
174	314	1484
175	315	1476
176	315	1468
177	316	1461
178	316	1453
179	317	1446
180	317	1438
181	318	1431
182	318	1423
183	319	1417
184	320	1409
185	320	1404
186	321	1398
187	322	1391
188	322	1384
189	323	1377
190	323	1371
191	324	1364
192	324	1357
193	325	1350
194	325	1344
195	326	1338
196	326	1331
197	327	1325
198	327	1319
199	328	1312
200	328	1306
201	329	1300
202	329	1294
203	330	1288
204	330	1282
205	331	1276
206	331	1270
207	332	1265
208	332	1259
209	333	1255
210	347	1300
211	349	1298
212	349	1293
